time,velocity
0.0,0.08
0.01,0.124
0.02,0.166
0.03,0.205
0.04,0.242
0.05,0.276
0.06,0.307
0.07,0.336
0.08,0.362
0.09,0.386
0.1,0.407
0.11,0.425
0.12,0.44
0.13,0.454
0.14,0.464
0.15,0.472
0.16,0.477
0.17,0.48
0.18,0.48
0.19,0.477
0.2,0.472
0.21,0.464
0.22,0.454
0.23,0.44
0.24,0.425
0.25,0.407
0.26,0.386
0.27,0.362
0.28,0.336
0.29,0.307
0.3,0.276
0.31,0.242
0.32,0.205
0.33,0.166
0.34,0.124
0.35,0.08
0.36,0.077
0.37,0.074
0.38,0.072
0.39,0.069
0.4,0.067
0.41,0.065
0.42,0.064
0.43,0.063
0.44,0.062
0.45,0.061
0.46,0.06
0.47,0.06
0.48,0.06
0.49,0.06
0.5,0.061
0.51,0.062
0.52,0.063
0.53,0.064
0.54,0.065
0.55,0.067
0.56,0.069
0.57,0.072
0.58,0.074
0.59,0.077
0.6,0.08
0.61,0.08
0.62,0.08
0.63,0.08
0.64,0.08
0.65,0.08
0.66,0.08
0.67,0.08
0.68,0.08
0.69,0.08
0.7,0.08
0.71,0.08
0.72,0.08
0.73,0.08
0.74,0.08
0.75,0.08
0.76,0.08
0.77,0.08
0.78,0.08
0.79,0.08
0.8,0.08
0.81,0.08
0.82,0.08
0.83,0.08
0.84,0.08
0.85,0.08
0.86,0.08
0.87,0.08
0.88,0.08
0.89,0.08
0.9,0.08
0.91,0.08
0.92,0.08
0.93,0.08
0.94,0.08
0.95,0.08
0.96,0.08
0.97,0.08
0.98,0.08
0.99,0.08
1.0,0.08
